Product_Category,Price,Quantity,Payment_Method,Delivery_Time_Days,Customer_Rating,Discount_Applied,gender,age_category,size,Purchase
Παντελόνι,5.42,1,PayPal,7,5,11,Women,Youth,XL,1
Φόρεμα,41.95,0,Κάρτα,9,2,9,Women,Youth,M,0
Παντελόνι,65.18,1,Αντικαταβολή,7,4,1,Neutral,Youth,XL,1
Φόρεμα,55.33,2,Αντικαταβολή,6,5,1,Women,Youth,M,1
Αξεσουάρ,42.26,0,PayPal,9,4,5,Neutral,Adult,S,0
Παπούτσια,28.05,3,Κάρτα,6,5,19,Neutral,Adult,M,1
Μπουφάν,56.88,2,Αντικαταβολή,8,4,37,Men,Children,M,1
Φόρεμα,30.23,5,Κάρτα,9,2,27,Neutral,Youth,S,1
Αξεσουάρ,55.32,3,Κάρτα,4,2,41,Men,Youth,XL,1
Φόρεμα,52.82,3,Αντικαταβολή,4,1,2,Neutral,Youth,M,1
Παπούτσια,53.02,1,Κάρτα,2,3,47,Neutral,Adult,XL,1
Φόρεμα,37.19,2,Κάρτα,5,5,36,Men,Youth,S,1
Αξεσουάρ,90.7,4,Αντικαταβολή,5,5,36,Men,Adult,L,1
Αξεσουάρ,57.16,2,PayPal,5,5,41,Neutral,Youth,XL,1
Μπλούζα,44.43,1,PayPal,8,4,24,Women,Youth,XL,1
Παπούτσια,55.29,2,Κάρτα,9,4,22,Men,Children,L,1
Μπλούζα,34.51,5,PayPal,7,3,12,Women,Youth,L,1
Παπούτσια,42.27,3,Αντικαταβολή,7,5,23,Women,Youth,S,1
Φόρεμα,97.84,1,Αντικαταβολή,4,4,2,Women,Children,XL,1
Αξεσουάρ,34.65,4,Αντικαταβολή,2,4,49,Men,Adult,XL,1
Μπλούζα,48.44,0,Κάρτα,3,5,37,Women,Adult,S,0
Φόρεμα,40.88,2,Αντικαταβολή,2,4,27,Men,Youth,XL,1
Αξεσουάρ,29.21,2,Κάρτα,9,5,25,Women,Adult,M,1
Παπούτσια,58.42,2,Κάρτα,7,5,19,Neutral,Youth,M,1
Αξεσουάρ,50.73,5,Αντικαταβολή,8,3,26,Neutral,Children,M,1
Φόρεμα,68.22,1,Αντικαταβολή,4,2,0,Men,Children,XL,1
Μπλούζα,66.21,1,Κάρτα,2,5,9,Neutral,Youth,M,1
Μπλούζα,68.01,1,Αντικαταβολή,4,4,9,Neutral,Children,M,1
Αξεσουάρ,31.64,1,PayPal,6,1,0,Women,Children,S,1
Φόρεμα,62.82,2,Κάρτα,6,4,31,Men,Youth,S,1
Παντελόνι,63.31,3,Κάρτα,3,4,31,Women,Youth,L,1
Παπούτσια,29.58,3,Αντικαταβολή,7,5,42,Women,Children,L,1
Παπούτσια,43.63,2,Αντικαταβολή,8,5,26,Women,Adult,L,1
Φόρεμα,20.88,1,Κάρτα,6,5,12,Women,Adult,L,1
Παντελόνι,63.39,1,Κάρτα,3,5,16,Women,Youth,S,1
Μπλούζα,63.3,4,Κάρτα,5,1,27,Women,Youth,S,1
Μπουφάν,78.61,2,Αντικαταβολή,4,5,24,Women,Adult,S,1
Μπουφάν,45.42,1,Κάρτα,8,3,49,Men,Children,M,1
Φόρεμα,59.03,1,PayPal,5,3,35,Neutral,Adult,M,1
Παντελόνι,69.75,5,PayPal,5,5,46,Women,Adult,L,1
Παντελόνι,34.92,1,Αντικαταβολή,9,4,1,Women,Adult,M,1
Παπούτσια,31.88,2,Κάρτα,3,5,31,Women,Adult,XL,1
Μπλούζα,35.54,4,Κάρτα,9,1,31,Women,Youth,S,1
Αξεσουάρ,43.01,2,PayPal,4,5,5,Women,Youth,L,1
Παντελόνι,32.59,2,Κάρτα,3,2,30,Women,Children,L,1
Αξεσουάρ,36.4,1,Αντικαταβολή,2,3,8,Neutral,Children,XL,1
Μπουφάν,67.62,1,Αντικαταβολή,5,4,42,Neutral,Children,M,1
Αξεσουάρ,48.07,1,Αντικαταβολή,4,4,15,Women,Children,L,1
Μπλούζα,56.13,2,Κάρτα,5,4,24,Neutral,Adult,M,1
Μπλούζα,38.99,2,Κάρτα,2,5,39,Men,Youth,M,1
Αξεσουάρ,37.67,0,PayPal,7,5,27,Women,Youth,XL,0
Φόρεμα,55.71,3,PayPal,2,3,16,Men,Children,L,1
Παντελόνι,52.52,3,Αντικαταβολή,7,3,30,Men,Children,M,1
Φόρεμα,65.56,1,Κάρτα,4,4,22,Women,Adult,M,1
Αξεσουάρ,76.03,3,Κάρτα,4,4,30,Neutral,Adult,XL,1
Παντελόνι,36.17,4,Αντικαταβολή,8,4,25,Men,Children,XL,1
Παπούτσια,67.22,4,Αντικαταβολή,2,3,3,Women,Youth,M,1
Φόρεμα,28.4,2,PayPal,9,5,38,Men,Youth,XL,1
Φόρεμα,91.48,1,PayPal,5,2,42,Men,Youth,M,1
Αξεσουάρ,34.27,0,Αντικαταβολή,6,4,42,Men,Children,L,0
Μπουφάν,63.81,3,Κάρτα,5,4,42,Men,Youth,S,1
Αξεσουάρ,28.26,2,PayPal,6,3,14,Neutral,Adult,XL,1
Φόρεμα,46.96,0,Αντικαταβολή,9,5,36,Men,Adult,S,0
Παντελόνι,80.91,5,Κάρτα,3,4,37,Men,Children,M,1
Μπουφάν,33.65,4,Αντικαταβολή,4,4,22,Men,Adult,M,1
Αξεσουάρ,94.08,1,Κάρτα,9,4,4,Neutral,Children,M,1
Αξεσουάρ,49.89,4,PayPal,2,5,40,Men,Youth,S,1
Φόρεμα,69.51,3,Κάρτα,3,5,42,Men,Youth,M,1
Φόρεμα,58.06,4,Κάρτα,9,4,24,Neutral,Youth,XL,1
Παπούτσια,59.14,3,Αντικαταβολή,5,3,29,Neutral,Adult,L,1
Αξεσουάρ,21.48,1,Κάρτα,6,2,25,Neutral,Children,L,1
Φόρεμα,40.54,3,PayPal,7,3,2,Men,Youth,XL,1
Μπλούζα,73.92,2,Αντικαταβολή,4,5,3,Neutral,Children,L,1
Μπουφάν,43.11,2,Αντικαταβολή,6,4,46,Neutral,Youth,S,1
Μπλούζα,52.78,2,Αντικαταβολή,5,5,17,Men,Adult,M,1
Μπουφάν,19.05,1,Αντικαταβολή,8,3,36,Neutral,Adult,M,1
Αξεσουάρ,39.25,5,Αντικαταβολή,5,4,10,Men,Children,M,1
Παπούτσια,72.46,4,Αντικαταβολή,2,5,10,Women,Adult,S,1
Φόρεμα,24.35,1,Αντικαταβολή,3,2,35,Neutral,Adult,S,1
Φόρεμα,64.34,3,PayPal,4,4,15,Women,Children,S,1
Φόρεμα,53.56,3,PayPal,2,5,42,Men,Youth,XL,1
Αξεσουάρ,45.28,4,Αντικαταβολή,6,5,24,Neutral,Adult,S,1
Μπουφάν,44.4,1,Κάρτα,8,5,0,Men,Children,L,1
Φόρεμα,40.18,1,Αντικαταβολή,3,5,25,Women,Adult,XL,1
Μπλούζα,41.96,2,Αντικαταβολή,9,5,44,Men,Adult,XL,1
Φόρεμα,68.59,1,Αντικαταβολή,4,3,29,Neutral,Adult,XL,1
Αξεσουάρ,41.36,1,Κάρτα,6,5,5,Neutral,Adult,S,1
Παπούτσια,86.15,0,PayPal,4,5,26,Women,Children,XL,0
Μπλούζα,55.99,2,Κάρτα,4,4,18,Men,Children,S,1
Φόρεμα,38.47,2,Κάρτα,7,3,37,Neutral,Children,S,1
Φόρεμα,69.47,1,Κάρτα,7,4,44,Women,Adult,XL,1
Παντελόνι,62.48,1,Κάρτα,9,5,42,Neutral,Adult,M,1
Μπουφάν,16.92,3,Αντικαταβολή,8,3,18,Neutral,Adult,M,1
Μπλούζα,29.31,2,PayPal,3,5,38,Men,Children,XL,1
Παντελόνι,47.69,1,Κάρτα,7,4,43,Neutral,Adult,M,1
Παπούτσια,18.33,1,PayPal,6,4,31,Men,Youth,L,1
Μπουφάν,91.81,1,Αντικαταβολή,7,3,47,Neutral,Adult,L,1
Μπλούζα,66.44,2,Αντικαταβολή,8,3,0,Women,Youth,S,1
Φόρεμα,49.73,4,PayPal,8,4,24,Neutral,Adult,M,1
Μπλούζα,43.15,1,Αντικαταβολή,2,4,46,Men,Children,L,1
Φόρεμα,38.01,0,PayPal,2,3,12,Men,Adult,XL,0
Μπουφάν,10.72,1,Κάρτα,2,3,9,Women,Youth,M,1
Φόρεμα,15.34,2,Αντικαταβολή,8,3,17,Neutral,Youth,L,1
Παπούτσια,88.02,0,Αντικαταβολή,4,4,35,Neutral,Adult,L,0
Αξεσουάρ,81.47,3,PayPal,5,5,21,Women,Youth,XL,1
Φόρεμα,38.48,1,Αντικαταβολή,3,5,5,Neutral,Youth,S,1
Παπούτσια,68.16,1,Κάρτα,2,5,26,Neutral,Children,XL,1
Αξεσουάρ,60.13,7,Αντικαταβολή,3,4,7,Men,Adult,S,1
Μπουφάν,62.49,1,Αντικαταβολή,7,4,23,Neutral,Adult,L,1
Μπουφάν,21.5,1,Αντικαταβολή,9,3,19,Neutral,Adult,S,1
Μπλούζα,13.84,0,PayPal,4,5,21,Women,Youth,L,0
Παπούτσια,73.65,5,Κάρτα,3,4,8,Women,Adult,L,1
Παπούτσια,10.41,1,Κάρτα,2,5,39,Men,Adult,M,1
Παντελόνι,47.04,2,Αντικαταβολή,2,4,49,Neutral,Children,S,1
Παντελόνι,42.65,0,Αντικαταβολή,8,2,38,Neutral,Children,S,0
Αξεσουάρ,40.8,2,PayPal,4,3,18,Neutral,Children,S,1
Αξεσουάρ,56.29,2,Κάρτα,4,5,49,Men,Youth,XL,1
Παντελόνι,36.45,4,Αντικαταβολή,6,3,0,Men,Adult,M,1
Αξεσουάρ,57.91,2,Κάρτα,4,3,10,Women,Children,M,1
Φόρεμα,52.82,2,Αντικαταβολή,5,5,40,Men,Children,M,1
Παντελόνι,91.97,2,Αντικαταβολή,5,5,41,Neutral,Children,XL,1
Παπούτσια,22.29,0,PayPal,2,2,9,Neutral,Adult,S,0
Φόρεμα,50.59,5,Κάρτα,9,2,0,Men,Adult,S,1
Αξεσουάρ,58.63,1,Κάρτα,7,3,26,Neutral,Adult,S,1
Μπουφάν,44.87,6,Αντικαταβολή,4,4,16,Neutral,Youth,M,1
Μπλούζα,23.26,3,Αντικαταβολή,5,5,43,Men,Youth,M,1
Παντελόνι,75.14,3,PayPal,8,3,43,Men,Children,L,1
Μπουφάν,56.74,2,Αντικαταβολή,5,5,16,Neutral,Adult,XL,1
Αξεσουάρ,24.66,1,Κάρτα,8,2,38,Neutral,Children,XL,1
Παπούτσια,58.77,5,PayPal,6,3,42,Neutral,Adult,M,1
Μπλούζα,84.03,0,Κάρτα,7,5,1,Women,Adult,L,0
Μπουφάν,49.27,2,PayPal,8,2,47,Women,Adult,S,1
Μπλούζα,49.96,3,Κάρτα,7,5,22,Women,Youth,M,1
Παντελόνι,81.36,1,Αντικαταβολή,4,5,40,Men,Youth,XL,1
Αξεσουάρ,30.59,2,Κάρτα,6,2,9,Women,Adult,XL,1
Παπούτσια,84.55,1,Κάρτα,7,4,41,Men,Children,XL,1
Αξεσουάρ,69.46,2,PayPal,9,4,29,Men,Adult,S,1
Μπλούζα,31.52,1,Κάρτα,7,5,34,Women,Adult,XL,1
Μπουφάν,36.63,1,Αντικαταβολή,8,4,24,Women,Children,S,1
Παντελόνι,39.5,4,PayPal,3,4,16,Women,Adult,S,1
Παντελόνι,13.33,3,PayPal,6,2,45,Neutral,Children,S,1
Αξεσουάρ,55.21,3,Κάρτα,7,4,18,Women,Youth,M,1
Μπουφάν,32.42,1,PayPal,3,3,17,Neutral,Youth,S,1
Μπουφάν,55.93,1,Αντικαταβολή,3,2,17,Men,Children,L,1
Μπλούζα,24.18,3,Κάρτα,9,5,45,Neutral,Youth,XL,1
Αξεσουάρ,68.46,5,Αντικαταβολή,7,3,34,Women,Youth,M,1
Αξεσουάρ,64.75,1,Κάρτα,8,2,9,Men,Children,XL,1
Φόρεμα,35.88,5,Κάρτα,4,5,22,Men,Youth,S,1
Αξεσουάρ,57.19,1,PayPal,3,5,44,Men,Adult,M,1
Παντελόνι,51.66,2,PayPal,3,2,21,Neutral,Adult,L,1
Μπλούζα,79.65,2,PayPal,9,2,43,Women,Children,S,1
Μπουφάν,29.35,1,Κάρτα,6,2,8,Men,Youth,XL,1
Αξεσουάρ,46.95,2,PayPal,4,1,31,Men,Adult,L,1
Μπλούζα,37.19,2,Αντικαταβολή,9,5,25,Men,Adult,S,1
Αξεσουάρ,50.9,2,PayPal,8,4,28,Neutral,Youth,L,1
Μπουφάν,60.67,2,Αντικαταβολή,4,5,41,Neutral,Youth,S,1
Παπούτσια,36.96,3,PayPal,3,4,18,Women,Adult,M,1
Μπουφάν,42.72,0,Κάρτα,8,5,47,Neutral,Adult,S,0
Μπουφάν,69.32,4,PayPal,6,4,28,Men,Children,M,1
Μπουφάν,77.15,1,Αντικαταβολή,6,5,34,Women,Children,S,1
Αξεσουάρ,59.87,0,Αντικαταβολή,6,4,11,Men,Adult,S,0
Φόρεμα,47.24,1,PayPal,9,5,7,Men,Children,XL,1
Μπουφάν,45.34,0,Αντικαταβολή,6,4,24,Neutral,Adult,L,0
Παντελόνι,60.96,1,Κάρτα,2,4,26,Women,Adult,L,1
Παντελόνι,54.56,1,PayPal,8,5,46,Neutral,Children,L,1
Μπλούζα,17.02,2,Αντικαταβολή,9,2,42,Neutral,Children,S,1
Φόρεμα,61.45,2,PayPal,7,4,44,Women,Youth,S,1
Μπλούζα,32.79,0,PayPal,9,5,5,Men,Youth,S,0
Παντελόνι,21.66,2,PayPal,9,5,12,Men,Youth,M,1
Παντελόνι,16.63,2,PayPal,3,4,10,Women,Adult,M,1
Παπούτσια,45.68,3,PayPal,3,4,37,Men,Children,XL,1
Μπουφάν,29.67,5,Κάρτα,3,3,5,Women,Adult,S,1
Παντελόνι,3.47,2,PayPal,4,5,4,Women,Children,L,1
Αξεσουάρ,42.83,1,Κάρτα,8,4,6,Neutral,Adult,L,1
Αξεσουάρ,40.19,2,PayPal,4,5,18,Women,Youth,XL,1
Μπλούζα,47.0,0,Αντικαταβολή,6,1,42,Neutral,Youth,L,0
Μπλούζα,37.42,5,PayPal,7,3,5,Men,Youth,XL,1
Μπουφάν,86.59,1,PayPal,8,3,24,Men,Adult,S,1
Μπουφάν,60.35,1,Αντικαταβολή,4,5,8,Men,Children,L,1
Παπούτσια,40.01,1,Κάρτα,5,3,19,Men,Children,S,1
Φόρεμα,48.73,2,Κάρτα,8,1,24,Neutral,Youth,M,1
Μπλούζα,78.29,1,Κάρτα,3,3,49,Men,Youth,L,1
Μπουφάν,69.13,3,Κάρτα,3,3,7,Women,Youth,M,1
Μπλούζα,22.08,4,Αντικαταβολή,2,3,49,Women,Youth,L,1
Μπουφάν,30.51,2,Κάρτα,2,3,36,Women,Children,S,1
Παντελόνι,34.36,2,Κάρτα,5,5,37,Neutral,Adult,XL,1
Μπλούζα,41.21,2,Κάρτα,2,4,1,Men,Adult,S,1
Παντελόνι,38.09,2,Κάρτα,7,4,21,Men,Adult,S,1
Μπλούζα,50.68,1,Κάρτα,6,5,35,Men,Adult,S,1
Φόρεμα,64.71,2,PayPal,6,4,3,Neutral,Youth,L,1
Παπούτσια,68.05,2,PayPal,8,5,47,Women,Youth,XL,1
Αξεσουάρ,43.46,2,Κάρτα,3,3,0,Women,Youth,M,1
Αξεσουάρ,17.31,5,Αντικαταβολή,9,4,47,Men,Adult,S,1
Αξεσουάρ,29.19,2,Αντικαταβολή,6,4,32,Women,Youth,L,1
Παντελόνι,39.6,3,PayPal,2,4,23,Women,Youth,M,1
Μπουφάν,25.1,0,Αντικαταβολή,5,4,48,Neutral,Children,S,0
Αξεσουάρ,72.82,2,PayPal,9,3,4,Neutral,Children,M,1
Φόρεμα,26.41,2,Κάρτα,7,5,47,Neutral,Youth,S,1
Αξεσουάρ,62.34,1,Κάρτα,9,4,34,Neutral,Children,M,1
Μπλούζα,16.36,2,Αντικαταβολή,6,1,41,Men,Children,M,1
Παντελόνι,63.14,1,Αντικαταβολή,3,4,49,Neutral,Youth,XL,1
Μπλούζα,47.21,2,Αντικαταβολή,3,5,49,Women,Youth,XL,1
Μπλούζα,80.25,4,Κάρτα,9,3,25,Men,Youth,S,1
Μπλούζα,27.37,3,Κάρτα,7,1,48,Women,Youth,L,1
Παπούτσια,38.72,1,Αντικαταβολή,2,5,42,Women,Adult,XL,1
Παπούτσια,42.59,3,Αντικαταβολή,6,5,40,Women,Adult,M,1
Μπουφάν,46.95,3,Αντικαταβολή,2,2,42,Neutral,Youth,XL,1
Παντελόνι,43.08,4,Αντικαταβολή,3,5,25,Neutral,Children,XL,1
Φόρεμα,43.47,3,PayPal,5,4,40,Men,Youth,S,1
Φόρεμα,43.14,1,Αντικαταβολή,6,5,48,Men,Youth,XL,1
Φόρεμα,8.58,2,Αντικαταβολή,8,4,4,Neutral,Children,XL,1
Μπλούζα,69.87,2,PayPal,5,5,43,Women,Adult,M,1
Παπούτσια,107.22,2,PayPal,7,5,17,Men,Youth,XL,1
Παντελόνι,55.97,3,PayPal,6,1,24,Neutral,Youth,M,1
Μπλούζα,27.28,2,PayPal,3,2,47,Neutral,Adult,XL,1
Παπούτσια,29.31,0,Αντικαταβολή,6,4,40,Neutral,Adult,XL,0
Παπούτσια,62.26,1,Κάρτα,3,2,39,Women,Children,L,1
Αξεσουάρ,57.71,1,Κάρτα,4,4,37,Neutral,Adult,XL,1
Αξεσουάρ,44.31,1,Κάρτα,3,5,48,Neutral,Adult,M,1
Παντελόνι,65.07,1,Κάρτα,3,3,45,Neutral,Adult,M,1
Παντελόνι,8.72,3,Κάρτα,7,4,20,Neutral,Children,S,1
Παντελόνι,65.08,0,Κάρτα,6,4,23,Men,Adult,S,0
Μπλούζα,54.76,2,PayPal,5,4,27,Men,Adult,L,1
Μπουφάν,30.08,1,PayPal,3,3,45,Neutral,Children,M,1
Παντελόνι,21.33,2,Κάρτα,9,3,3,Women,Adult,M,1
Αξεσουάρ,52.43,1,Αντικαταβολή,6,5,7,Men,Adult,M,1
Μπουφάν,78.14,1,Αντικαταβολή,3,5,48,Neutral,Children,L,1
Μπλούζα,45.44,1,Κάρτα,2,5,32,Men,Youth,M,1
Μπουφάν,32.95,2,Αντικαταβολή,9,5,2,Men,Children,S,1
Φόρεμα,53.83,2,PayPal,2,4,48,Women,Adult,L,1
Μπουφάν,86.42,2,PayPal,2,5,19,Neutral,Adult,S,1
Παντελόνι,58.63,2,Αντικαταβολή,9,4,34,Neutral,Adult,S,1
Μπλούζα,60.79,1,Κάρτα,2,2,38,Women,Children,L,1
Παντελόνι,74.46,1,PayPal,5,4,42,Women,Adult,XL,1
Αξεσουάρ,59.45,2,Αντικαταβολή,9,3,46,Neutral,Adult,XL,1
Φόρεμα,34.38,2,Αντικαταβολή,7,4,6,Neutral,Children,S,1
Αξεσουάρ,15.11,3,PayPal,3,3,26,Women,Youth,XL,1
Παντελόνι,31.57,2,PayPal,2,4,4,Men,Youth,M,1
Παντελόνι,27.91,1,Κάρτα,6,4,48,Men,Adult,L,1
Παντελόνι,63.19,2,Αντικαταβολή,2,5,36,Women,Children,S,1
Παπούτσια,65.97,2,Κάρτα,4,4,0,Men,Adult,M,1
Φόρεμα,53.51,2,PayPal,4,5,21,Women,Children,XL,1
Παντελόνι,24.63,2,Αντικαταβολή,7,2,6,Men,Children,M,1
Παντελόνι,85.73,2,PayPal,5,5,48,Men,Youth,XL,1
Αξεσουάρ,41.68,1,PayPal,8,5,7,Neutral,Youth,S,1
Αξεσουάρ,62.07,0,PayPal,4,5,43,Neutral,Children,M,0
Παντελόνι,50.99,1,Κάρτα,9,4,29,Men,Adult,L,1
Μπλούζα,54.17,5,PayPal,6,3,27,Men,Youth,S,1
Παπούτσια,61.36,4,Κάρτα,2,3,25,Neutral,Adult,M,1
Αξεσουάρ,36.08,3,PayPal,4,3,33,Neutral,Youth,M,1
Μπλούζα,76.11,2,PayPal,4,4,48,Neutral,Youth,XL,1
Παπούτσια,18.41,2,Αντικαταβολή,5,5,31,Women,Adult,S,1
Παντελόνι,29.23,2,PayPal,9,3,21,Men,Youth,S,1
Φόρεμα,75.85,2,Αντικαταβολή,4,3,19,Neutral,Youth,S,1
Μπουφάν,61.8,0,Αντικαταβολή,9,3,13,Men,Adult,S,0
Μπουφάν,100.81,1,Κάρτα,2,2,22,Women,Youth,XL,1
Παντελόνι,51.37,1,Αντικαταβολή,7,5,2,Women,Youth,L,1
Αξεσουάρ,84.01,0,Αντικαταβολή,8,5,18,Neutral,Youth,S,0
Μπλούζα,12.85,4,PayPal,7,3,13,Women,Adult,XL,1
Φόρεμα,21.73,2,PayPal,9,3,39,Men,Children,L,1
Παπούτσια,67.91,0,Κάρτα,7,5,38,Neutral,Adult,L,0
Παντελόνι,15.19,2,Αντικαταβολή,8,1,36,Men,Children,XL,1
Φόρεμα,46.05,0,Αντικαταβολή,9,4,34,Men,Youth,S,0
Φόρεμα,73.34,3,Κάρτα,3,5,0,Women,Children,L,1
Αξεσουάρ,60.02,2,PayPal,2,4,18,Women,Adult,S,1
Παπούτσια,50.22,1,Αντικαταβολή,4,1,14,Women,Adult,S,1
Φόρεμα,41.02,1,Κάρτα,4,3,24,Women,Youth,M,1
Αξεσουάρ,54.04,3,PayPal,8,5,0,Women,Children,S,1
Μπλούζα,61.54,3,Κάρτα,4,1,30,Neutral,Youth,M,1
Αξεσουάρ,36.78,3,Κάρτα,5,4,36,Men,Youth,L,1
Μπλούζα,57.43,0,Αντικαταβολή,6,5,42,Men,Adult,XL,0
Μπλούζα,71.57,0,PayPal,2,5,45,Men,Children,M,0
Φόρεμα,45.55,3,Αντικαταβολή,7,4,21,Men,Children,XL,1
Αξεσουάρ,51.36,3,Αντικαταβολή,4,3,49,Women,Children,L,1
Μπλούζα,59.68,1,PayPal,8,4,19,Men,Children,S,1
Παπούτσια,61.03,4,PayPal,3,3,40,Neutral,Youth,L,1
Φόρεμα,67.57,0,PayPal,5,3,46,Neutral,Youth,XL,0
Αξεσουάρ,29.71,1,Αντικαταβολή,6,5,42,Men,Adult,L,1
Αξεσουάρ,39.42,3,PayPal,4,3,4,Men,Youth,S,1
Μπουφάν,40.16,2,PayPal,7,1,14,Neutral,Youth,L,1
Αξεσουάρ,31.92,2,PayPal,2,3,1,Neutral,Adult,S,1
Φόρεμα,14.03,1,Κάρτα,3,4,11,Women,Adult,M,1
Παπούτσια,-15.09,4,PayPal,7,5,6,Neutral,Adult,XL,1
Αξεσουάρ,73.91,2,Αντικαταβολή,5,5,1,Women,Youth,S,1
Μπουφάν,18.92,2,Κάρτα,2,5,7,Women,Youth,S,1
Φόρεμα,81.33,1,Αντικαταβολή,8,4,8,Women,Adult,L,1
Μπλούζα,64.79,4,Κάρτα,2,5,26,Women,Adult,M,1
Παντελόνι,41.89,5,PayPal,5,3,27,Women,Adult,S,1
Παντελόνι,62.33,2,Κάρτα,8,4,36,Men,Youth,M,1
Μπλούζα,58.5,2,Αντικαταβολή,2,4,14,Neutral,Youth,M,1
Αξεσουάρ,27.96,0,Κάρτα,9,2,18,Women,Children,L,0
Παντελόνι,49.7,3,PayPal,8,3,29,Neutral,Youth,S,1
Παντελόνι,30.4,2,PayPal,8,4,12,Neutral,Youth,L,1
Μπλούζα,63.08,5,Αντικαταβολή,3,4,44,Women,Youth,XL,1
Αξεσουάρ,35.7,6,Κάρτα,3,4,5,Men,Adult,XL,1
Αξεσουάρ,48.07,3,Αντικαταβολή,9,5,29,Women,Youth,S,1
Μπλούζα,47.2,3,Αντικαταβολή,8,4,0,Men,Adult,M,1
Αξεσουάρ,52.43,3,Αντικαταβολή,2,5,41,Neutral,Children,S,1
Αξεσουάρ,83.25,2,PayPal,4,4,37,Men,Children,S,1
Φόρεμα,45.18,3,Κάρτα,9,4,24,Men,Adult,XL,1
Φόρεμα,74.36,2,PayPal,2,1,34,Men,Adult,XL,1
Μπλούζα,59.6,0,PayPal,4,3,25,Neutral,Adult,M,0
Παπούτσια,78.37,2,PayPal,2,5,12,Neutral,Youth,M,1
Παντελόνι,43.23,2,Κάρτα,7,3,18,Men,Children,S,1
Φόρεμα,63.92,2,PayPal,6,3,9,Men,Adult,L,1
Παντελόνι,48.81,2,PayPal,3,4,44,Women,Youth,S,1
Μπουφάν,-9.79,1,PayPal,2,2,6,Men,Children,M,1
Μπλούζα,28.2,2,Κάρτα,3,4,14,Women,Youth,L,1
Παπούτσια,61.65,5,Κάρτα,5,3,22,Men,Children,XL,1
Μπουφάν,60.33,1,Αντικαταβολή,6,4,35,Women,Youth,M,1
Μπουφάν,24.1,0,PayPal,4,5,42,Neutral,Children,M,0
Αξεσουάρ,54.41,2,PayPal,9,5,30,Men,Children,L,1
Μπουφάν,60.07,0,Κάρτα,5,4,7,Men,Youth,M,0
Μπλούζα,49.31,3,Κάρτα,6,4,29,Men,Adult,M,1
Φόρεμα,64.58,2,PayPal,5,5,33,Men,Children,M,1
Μπλούζα,61.85,3,Αντικαταβολή,3,5,32,Women,Adult,M,1
Φόρεμα,49.3,4,Αντικαταβολή,7,3,0,Men,Youth,M,1
Μπουφάν,39.78,1,PayPal,6,3,15,Neutral,Adult,M,1
Μπουφάν,70.85,1,Αντικαταβολή,5,3,49,Neutral,Adult,M,1
